Name,Price,Location,Fuel Type,Transmission,Kms Driven,Year,Company Name
Ciaz ,4.56 Lakh,new delhi,Petrol,Manual,15000,2018,Maruti
Xcent ,5.00 Lakh,new delhi,Petrol,Manual,30000,2017,Hyundai
Swift Dzire ,40000,new delhi,Petrol,Manual,30000,2018,Maruti
Baleno ,5.50 Lakh,new delhi,Petrol,Manual,40000,2016,Maruti
KUV 100 NXT ,4.80 Lakh,new delhi,Petrol,Manual,35000,2018,Mahindra
Ciaz ,6.85 Lakh,new delhi,Petrol,Manual,57000,2017,Maruti
Swift Dzire ,4.00 Lakh,new delhi,Diesel,Manual,56000,2015,Maruti
Sunny ,1.35 Lakh,new delhi,Diesel,Manual,75134,2012,Nissan
Swift ,75000,new delhi,Petrol,Manual,78000,2006,Maruti
Glanza ,6.25 Lakh,new delhi,Petrol,Manual,29000,2020,Toyota
Thar ,16.80 Lakh,new delhi,Petrol,Manual,2900,2022,Mahindra
BR-V ,6.55 Lakh,new delhi,Diesel,Manual,70000,2016,Honda
Range Rover Evoque ,45.00 Lakh,new delhi,Diesel,Automatic,35000,2019,Land Rover
City ,6.75 Lakh,new delhi,Petrol,Automatic,50000,2014,Honda
5 Series ,18.50 Lakh,new delhi,Diesel,Automatic,90000,2016,BMW
Corolla Altis ,9.25 Lakh,new delhi,Petrol,Manual,48000,2016,Toyota
XF ,19.50 Lakh,new delhi,Diesel,Automatic,51000,2015,Jaguar
Glanza ,8.50 Lakh,new delhi,Petrol,Automatic,48000,2020,Toyota
Amaze ,6.40 Lakh,new delhi,Petrol,Automatic,47000,2016,Honda
Swift Dzire ,6.00 Lakh,new delhi,Petrol,Manual,27000,2017,Maruti
Fiesta ,1.28 Lakh,new delhi,Petrol,Manual,99000,2008,Ford
Mustang ,68.00 Lakh,new delhi,Petrol,Automatic,20000,2017,Ford
Swift Dzire ,4.80 Lakh,new delhi,Petrol,Manual,41000,2015,Maruti
Celerio ,3.45 Lakh,new delhi,CNG,Manual,72534,2016,Maruti
XUV500 ,4.95 Lakh,new delhi,Diesel,Manual,86970,2013,Mahindra
Swift ,3.95 Lakh,new delhi,Petrol,Manual,68409,2014,Maruti
Nexon ,9.75 Lakh,new delhi,Petrol,Manual,6000,2022,Tata
Wagon R ,5.25 Lakh,new delhi,Petrol,Automatic,44000,2019,Maruti
XL6 ,11.75 Lakh,new delhi,Petrol,Automatic,9500,2022,Maruti
Thar ,16.50 Lakh,new delhi,Petrol,Automatic,9400,2021,Mahindra
City ,10.75 Lakh,new delhi,Petrol,Automatic,27000,2017,Honda
Baleno ,6.00 Lakh,new delhi,Petrol,Manual,24000,2018,Maruti
Q2 ,32.50 Lakh,new delhi,Petrol,Automatic,10000,2020,Audi
i20 ,2.25 Lakh,new delhi,Petrol,Manual,84571,2011,Hyundai
i10 ,2.75 Lakh,new delhi,Petrol,Manual,62000,2013,Hyundai
Swift Dzire ,3.45 Lakh,new delhi,Diesel,Manual,116471,2014,Maruti
A6 ,12.50 Lakh,new delhi,Diesel,Automatic,32000,2013,Audi
Ritz ,2.05 Lakh,new delhi,Petrol,Manual,56142,2010,Maruti
E-Class ,49.50 Lakh,new delhi,Petrol,Automatic,37000,2018,Mercedes-Benz
Tiago ,4.45 Lakh,new delhi,Petrol,Manual,43000,2017,Tata
Amaze ,6.20 Lakh,new delhi,Petrol,Manual,17638,2020,Honda
Baleno ,5.60 Lakh,new delhi,Petrol,Manual,63000,2016,Maruti
KWID ,3.50 Lakh,new delhi,Petrol,Automatic,27400,2017,Renault
Amaze ,3.80 Lakh,new delhi,Petrol,Manual,51000,2014,Honda
Grand i10 ,4.49 Lakh,new delhi,Petrol,Manual,35000,2016,Hyundai
Rapid ,5.50 Lakh,new delhi,Petrol,Manual,70100,2016,Skoda
Vitara Brezza ,7.75 Lakh,new delhi,Diesel,Manual,49000,2017,Maruti
Ecosport ,5.70 Lakh,new delhi,Petrol,Manual,51000,2016,Ford
Amaze ,5.32 Lakh,new delhi,Petrol,Manual,18538,2018,Honda
Alto K10 ,3.50 Lakh,new delhi,CNG,Manual,77000,2016,Maruti
Ertiga ,4.00 Lakh,new delhi,Diesel,Manual,67000,2012,Maruti
Ciaz ,5.50 Lakh,new delhi,Diesel,Manual,62200,2015,Maruti
Ecosport ,8.00 Lakh,new delhi,Diesel,Manual,68000,2018,Ford
Fortuner ,11.50 Lakh,new delhi,Diesel,Automatic,118000,2013,Toyota
Fortuner ,16.00 Lakh,new delhi,Diesel,Automatic,48000,2015,Toyota
M-Class ,16.75 Lakh,new delhi,Diesel,Automatic,118000,2013,Mercedes-Benz
