,Name,Price,Location,Fuel Type,Transmission,Kms Driven,Year,Company Name
9112,Superb ,2275000,mumbai,Diesel,Automatic,48000,2017,Skoda
9113,Sunny ,484999,mumbai,Diesel,Manual,71000,2016,Nissan
9114,3 Series ,4999000,mumbai,Diesel,Automatic,12500,2021,BMW
9115,Rapid ,699000,mumbai,Petrol,Automatic,32000,2017,Skoda
9116,Z4 ,3475000,mumbai,Petrol,Automatic,49000,2012,BMW
9117,Lodgy ,799000,mumbai,Diesel,Manual,45000,2018,Renault
9118,GLC ,4444000,mumbai,Diesel,Automatic,47000,2018,Mercedes-Benz
9119,GLC ,4444000,mumbai,Diesel,Automatic,47000,2018,Mercedes-Benz
9120,Z4 ,3475000,mumbai,Petrol,Automatic,49000,2012,BMW
9121,3 Series ,4999000,mumbai,Diesel,Automatic,12500,2021,BMW
9122,Urban cruiser ,944999,mumbai,Petrol,Manual,27000,2020,Toyota
9123,Amaze ,490000,mumbai,Petrol,Manual,73000,2015,Honda
9124,Macan ,7500000,mumbai,Petrol,Automatic,45000,2017,Porsche
9125,XUV500 ,1015000,mumbai,Diesel,Manual,49900,2015,Mahindra
9126,Jazz ,600000,mumbai,Petrol,Automatic,19697,2015,Honda
9127,i10 ,325000,mumbai,Petrol,Automatic,46000,2012,Hyundai
9128,Innova ,531000,mumbai,Diesel,Manual,126807,2010,Toyota
9129,Vento ,1435000,mumbai,Petrol,Automatic,5000,2021,Volkswagen
9130,GLE ,9150000,mumbai,Diesel,Automatic,12600,2021,Mercedes-Benz
9131,GLE ,9150000,mumbai,Diesel,Automatic,12600,2021,Mercedes-Benz
9132,Brio ,299000,mumbai,Petrol,Manual,60000,2013,Honda
9133,New Safari ,2475000,mumbai,Diesel,Automatic,11000,2022,Tata
9134,City ,625000,mumbai,Petrol,Manual,53620,2015,Honda
9135,Verna ,475000,mumbai,Diesel,Automatic,33685,2011,Hyundai
9136,Fortuner ,3924000,mumbai,Diesel,Automatic,22001,2020,Toyota
9137,C-Class ,599000,mumbai,Petrol,Automatic,97000,2009,Mercedes-Benz
9138,Wagon R ,475000,mumbai,Petrol,Automatic,38447,2019,Maruti
9139,XUV500 ,1645000,mumbai,Diesel,Automatic,42000,2018,Mahindra
9140,Q7 ,2990000,mumbai,Diesel,Automatic,52000,2015,Audi
9141,5 Series ,4600000,mumbai,Petrol,Automatic,37000,2018,BMW
9142,Micra ,380000,mumbai,Petrol,Automatic,21696,2013,Nissan
9143,Swift ,180000,mumbai,Diesel,Manual,110000,2008,Maruti
9144,Innova ,869999,mumbai,Diesel,Manual,104987,2013,Toyota
9145,A6 ,990000,mumbai,Diesel,Automatic,109114,2011,Audi
9146,Jazz ,711000,mumbai,Petrol,Automatic,29106,2017,Honda
9147,City ,1490000,mumbai,Petrol,Automatic,12706,2021,Honda
9148,Verna ,475000,mumbai,Petrol,Automatic,77394,2013,Hyundai
9149,3 Series ,4999000,mumbai,Diesel,Automatic,12500,2021,BMW
9150,Etios ,345000,mumbai,Petrol,Manual,23000,2011,Toyota
9151,C-Class ,3690000,mumbai,Diesel,Automatic,34000,2018,Mercedes-Benz
9152,Tigor ,590000,mumbai,Petrol,Manual,41000,2018,Tata
9153,Tigor ,590000,mumbai,Petrol,Manual,41000,2018,Tata
9154,C-Class ,3690000,mumbai,Diesel,Automatic,34000,2018,Mercedes-Benz
9155,Corolla Altis ,425000,mumbai,Petrol,Automatic,53000,2012,Toyota
9156,Ciaz ,749000,mumbai,Petrol,Manual,36001,2019,Maruti
9157,Compass ,1848999,mumbai,Petrol,Automatic,28500,2019,Jeep
9158,Passat ,675000,mumbai,Diesel,Automatic,61000,2013,Volkswagen
9159,Figo ,149000,mumbai,Petrol,Manual,31000,2010,Ford
9160,Jetta ,711000,mumbai,Diesel,Manual,46000,2014,Volkswagen
9161,Vento ,595000,mumbai,Petrol,Manual,49900,2015,Volkswagen
9162,XL6 ,1025000,mumbai,Petrol,Manual,36000,2019,Maruti
9163,Ertiga ,1075000,mumbai,Petrol,Manual,17500,2020,Maruti
9164,Ecosport ,450000,mumbai,Petrol,Manual,32000,2013,Ford
9165,Wagon R ,325000,mumbai,Petrol,Manual,40000,2014,Maruti
9166,Grand i10 Nios ,775000,mumbai,Petrol,Automatic,9500,2021,Hyundai
9167,Ertiga ,825000,mumbai,CNG,Manual,73000,2017,Maruti
9168,Ertiga ,1185000,mumbai,Petrol,Manual,14000,2021,Maruti
9169,City ,825000,mumbai,Petrol,Manual,21383,2017,Honda
9170,Vitara Brezza ,975000,mumbai,Petrol,Manual,12221,2020,Maruti
9171,i20 ,265000,mumbai,Petrol,Manual,57000,2011,Hyundai
9172,City ,175000,mumbai,Petrol,Manual,65000,2008,Honda
